;naive;KMP-br;KMP-brs;
100;522245;2903395;2820441;
200;521296;2960029;2872433;
300;524149;2999308;2938337;
400;520108;3076150;3016133;
500;518175;3067683;3011091;
600;505791;3068483;3056320;
700;504179;3125570;3104549;
800;514821;3211821;3206816;
900;502816;3181645;3258796;
1000;500674;3307075;3322625;
1100;497949;3304345;3377008;
1200;493683;3349029;3447941;
1300;489899;3385462;3485625;
1400;486779;3416774;3532508;
1500;483824;3477712;3587433;
1600;487712;3493987;3646483;
1700;476850;3519020;3717545;
1800;472824;3572066;3759779;
1900;470875;3575987;3764120;
2000;461267;3609158;3888841;
2100;463241;3678137;3945999;
2200;459025;3713854;3980141;
2300;455045;3784837;4024395;
2400;452125;3790804;4081475;
2500;448425;3833900;4137987;
2600;444979;3864379;4187249;
2700;441991;3892787;4216187;
2800;430112;3862358;4219079;
2900;426108;3900879;4265749;
3000;422870;3940791;4322341;
